orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_monitoring-stack-smart-plug-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_memory_ubuntu,orin_memory_[none],orin_memory_[none],orin_memory_powerstorm_marketing-campaign_0_client,orin_memory_powerstorm_marketing-campaign_0_client,raspberrypi4_memory_ubuntu,raspberrypi4_memory_monitoring-stack_smart-plug_1,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_sent_powerstorm_marketing-campaign_0_client,raspberrypi4_network_sent_6g-sandbox-engine-worker-1,raspberrypi4_network_sent_monitoring-stack_smart-plug_1,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_network_received_powerstorm_marketing-campaign_0_client,raspberrypi4_network_received_6g-sandbox-engine-worker-1,raspberrypi4_network_received_monitoring-stack_smart-plug_1,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-kafka-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,orin_cpu_powerstorm_marketing-campaign_0_client,raspberrypi4_cpu_6g-sandbox-engine-worker-1,raspberrypi4_cpu_monitoring-stack_smart-plug_1,orin_temp,raspberrypi4_temp,orin_memory,raspberrypi4_memory,orin_disk_writes,raspberrypi4_disk_writes,orin_disk_reads,raspberrypi4_disk_reads,orin_network_sent,raspberrypi4_network_sent,orin_network_received,raspberrypi4_network_received,orin_power,raspberrypi4_power,orin_cpu,raspberrypi4_cpu
0,0,0,,0,72221492,2459042000,32837630,4783057200,,0,0,248443.14398,2554.67282,1284.69678,,7797912.4,531.87748,1578.7313,452063.2906,1716.58534,704.71792,,551989.88,404.718002,967.070918,0.7393044,1.8810491,9.7182534,1.0978685,1.2092993,0.9631586,,268.511332,0.3509373,0.3119767,40.561,54.015,3159.8594,1106.61874,-17.6000002,-17.6,0,5.6,-336.011564,-210.0521082,1355.90602,8.2980254,8.373,6.019,17.4541656,6.2337742
0,0,0,,0,79831860,2459066600,32839268,4783057200,,0,0,245057.93054,1305.84026,1557.90516,,7797912.4,531.87748,1578.7313,416896.29062,972.42628,955.12472,,551989.88,404.718002,967.070918,0.5987731,3.0519653,8.157008,1.055612,12.6921372,1.1263152,,268.511332,0.3509373,0.3119767,40.561,54.015,3163.7044,1106.61874,-36,-17.6,0,5.6,-350.260006,-210.0521082,1376.0472,8.2980254,9.2698,6.019,19.3952787,6.2337742
0,0,0,,0,79831860,2459066600,32839268,4783057200,,0,0,245057.93054,1305.84026,1557.90516,,7797912.4,1066.836,1176.11728,416896.29062,972.42628,955.12472,,551989.88,798.993496,641.409434,0.5987731,3.0519653,8.157008,1.055612,12.6921372,1.1263152,,268.511332,0.5093398,0.2971498,40.561,54.015,3163.7044,1104.825,-36,-10.139874,0,0,-350.260006,-209.1834926,1376.0472,7.1748604,9.2698,6.095,19.3952787,6.6668313
0,0,0,,0,79831860,2459066600,32839268,4783057200,,0,0,245057.93054,1305.84026,1557.90516,,7797912.4,1066.836,1176.11728,416896.29062,972.42628,955.12472,,551989.88,798.993496,641.409434,0.5987731,3.0519653,8.157008,1.055612,12.6921372,1.1263152,,268.511332,0.5093398,0.2971498,40.561,54.015,3163.7044,1104.825,-36,-10.139874,0,0,-350.260006,-209.1834926,1376.0472,7.1748604,9.2698,6.095,19.3952787,6.6668313
0,0,0,,0,79831860,2459066600,32839268,4783057200,,0,0,245057.93054,1305.84026,1557.90516,,7797912.4,1066.836,1176.11728,416896.29062,972.42628,955.12472,,551989.88,798.993496,641.409434,0.5987731,3.0519653,8.157008,1.055612,12.6921372,1.1263152,,268.511332,0.5093398,0.2971498,40.561,54.015,3163.7044,1104.825,-36,-10.139874,0,0,-350.260006,-209.1834926,1376.0472,7.1748604,9.2698,6.095,19.3952787,6.6668313
0,0,0,,0,79831860,2459066600,32839268,4783057200,,0,0,245057.93054,1305.84026,1557.90516,,7797912.4,1066.836,1176.11728,416896.29062,972.42628,955.12472,,551989.88,798.993496,641.409434,0.5987731,3.0519653,8.157008,1.055612,12.6921372,1.1263152,,268.511332,0.5093398,0.2971498,40.561,54.015,3163.7044,1104.825,-36,-10.139874,0,0,-350.260006,-209.1834926,1376.0472,7.1748604,9.2698,6.095,19.3952787,6.6668313
0,0,0,,0,100870556,2459298200,32837630,4783057200,107409410,0,0,257680.1387,1327.97358,1433.23386,0,7797912.4,1066.836,1176.11728,457605.27862,979.40826,806.10184,213,551989.88,798.993496,641.409434,0.4911307,1.4435501,5.904916,0.9020602,7.9720882,0.5680506,8.765991,268.511332,0.5093398,0.2971498,40.561,54.015,3237.7592,1104.825,-624.799954,-10.139874,0,0,-372.174794,-209.1834926,1416.93434,7.1748604,9.494,6.095,25.9270742,6.6668313
0,0,0,,0,100870556,2459298200,32837630,4783057200,107409410,0,0,257680.1387,1327.97358,1433.23386,0,7797912.4,866.1918,1848.81186,457605.27862,979.40826,806.10184,213,551989.88,651.20946,1105.454766,0.4911307,1.4435501,5.904916,0.9020602,7.9720882,0.5680506,8.765991,268.511332,0.6335527,0.3083937,40.561,53.74,3237.7592,1104.96874,-624.799954,-3.460126,0,0,-372.174794,-211.3195148,1416.93434,9.198391,9.494,5.8898,25.9270742,6.5594298
0,0,0,,0,100870556,2459298200,32837630,4783057200,107409410,0,0,257680.1387,1327.97358,1433.23386,0,7797912.4,866.1918,1848.81186,457605.27862,979.40826,806.10184,213,551989.88,651.20946,1105.454766,0.4911307,1.4435501,5.904916,0.9020602,7.9720882,0.5680506,8.765991,268.511332,0.6335527,0.3083937,40.561,53.74,3237.7592,1104.96874,-624.799954,-3.460126,0,0,-372.174794,-211.3195148,1416.93434,9.198391,9.494,5.8898,25.9270742,6.5594298
0,0,0,,0,100870556,2459298200,32837630,4783057200,107409410,0,0,257680.1387,1327.97358,1433.23386,0,7797912.4,866.1918,1848.81186,457605.27862,979.40826,806.10184,213,551989.88,651.20946,1105.454766,0.4911307,1.4435501,5.904916,0.9020602,7.9720882,0.5680506,8.765991,268.511332,0.6335527,0.3083937,40.561,53.74,3237.7592,1104.96874,-624.799954,-3.460126,0,0,-372.174794,-211.3195148,1416.93434,9.198391,9.494,5.8898,25.9270742,6.5594298
