orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_monitoring-stack-smart-plug-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_disk_reads_powerstorm_marketing-campaign_0_client,raspberrypi4_disk_reads_monitoring-stack-smart-plug-1,raspberrypi0_disk_reads_6g-sandbox-engine-worker-1,raspberrypi0_disk_reads_monitoring-stack-smart-plug-module-1,raspberrypi0_disk_reads_monitoring-stack-stream-events-1,orin_memory_ubuntu,orin_memory_[none],orin_memory_[none],orin_memory_powerstorm_marketing-campaign_0_client,orin_memory_powerstorm_marketing-campaign_0_client,raspberrypi4_memory_ubuntu,raspberrypi4_memory_ubuntu,raspberrypi4_memory_[none],raspberrypi0_memory_[none],raspberrypi0_memory_ubuntu,raspberrypi0_memory_[none],raspberrypi0_memory_ubuntu,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_sent_powerstorm_marketing-campaign_0_client,raspberrypi4_network_sent_6g-sandbox-engine-worker-1,raspberrypi4_network_sent_monitoring-stack-smart-plug-1,raspberrypi0_network_sent_6g-sandbox-engine-worker-1,raspberrypi0_network_sent_monitoring-stack-smart-plug-module-1,raspberrypi0_network_sent_monitoring-stack-stream-events-1,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_network_received_powerstorm_marketing-campaign_0_client,raspberrypi4_network_received_6g-sandbox-engine-worker-1,raspberrypi4_network_received_monitoring-stack-smart-plug-1,raspberrypi0_network_received_6g-sandbox-engine-worker-1,raspberrypi0_network_received_monitoring-stack-smart-plug-module-1,raspberrypi0_network_received_monitoring-stack-stream-events-1,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,orin_cpu_powerstorm_marketing-campaign_0_client,raspberrypi4_cpu_monitoring-stack-smart-plug-1,raspberrypi0_cpu_monitoring-stack-stream-events-1,orin_temp,raspberrypi4_temp,raspberrypi0_temp,orin_memory,raspberrypi4_memory,raspberrypi0_memory,orin_disk_writes,raspberrypi4_disk_writes,raspberrypi0_disk_writes,orin_disk_reads,raspberrypi4_disk_reads,raspberrypi0_disk_reads,orin_network_sent,raspberrypi4_network_sent,raspberrypi0_network_sent,orin_network_received,raspberrypi4_network_received,raspberrypi0_network_received,raspberrypi0_power_module,orin_power,raspberrypi4_power,raspberrypi0_power,orin_cpu,raspberrypi4_cpu,raspberrypi0_cpu
0,0,0,0,,0,,0,0,228724700,78389250,1189008160,7120306000,,0,0,0,0,,0,0,6734.532085,0,1570.0762,7281899,,73400.8064234,1298.02694,33059.1984,207.114,211.1227,316145.6703,0,958.77998,443498.5,,72793.8248,828.851916,30493.9273,150.17496,163.05142,0.6499279,7.9360381,1.0376701,0,0.8231543,276.312756,,0.3353602,0.1553392,44.643,57.04,63.296,4985.9688,921.62816,780.95782,-208.9710618,-47.2268626,-51.05429,0,0,0,-33.7126648,-238.4184634,-244.4642653,1492.44186,11.996907,4.986228,1.063,10.2454,6.8734,3.55,29.5463135,39.2662762,55.5389885
0,0,0,0,,0,,0,0,228724700,78389250,1189008160,7120306000,,0,0,0,0,0,0,0,6734.532085,0,1570.0762,7281899,,73400.8064234,1298.02694,56206.5598,214.4405,206.2509,316145.6703,0,958.77998,443498.5,,72793.8248,828.851916,52737.8471,155.25236,164.78295,0.6499279,7.9360381,1.0376701,0,0.8231543,276.312756,,0.3353602,0.1553392,44.643,55.3745,64.757,4985.9688,921.62816,780.95782,-208.9710618,-47.2268626,-51.05429,0,0,0,-33.7126648,-238.4184634,-244.4642653,1492.44186,11.996907,4.986228,1.063,10.2454,6.8734,4.652,29.5463135,39.2662762,55.5389885
0,0,0,0,,0,,0,0,238959780,78389250,1193041920,7120306000,,0,0,0,0,0,0,0,7236.487785,0,1512.52468,7281899,,73400.8064234,1298.02694,56206.5598,214.4405,206.2509,262357.70488,0,932.94304,443498.5,,72793.8248,828.851916,52737.8471,155.25236,164.78295,0.7643469,7.4263668,0.9377708,14.4134705,0.8604183,276.312756,,0.3353602,0.1553392,44.643,55.3745,64.757,4974.7868,921.62816,780.95782,-105.599998,-47.2268626,-51.05429,11.2,0,0,-58.748246,-238.4184634,-244.4642653,1538.21036,11.996907,4.986228,1.063,10.139,6.8734,4.652,23.5256993,39.2662762,55.5389885
0,0,0,0,,0,,0,0,238959780,78389250,1193041920,7120306000,,0,0,0,0,0,0,0,7236.487785,0,1512.52468,7281899,,81951.10255,1402.19994,56206.5598,214.4405,206.2509,262357.70488,0,932.94304,443498.5,,80977.6455,814.599994,52737.8471,155.25236,164.78295,0.7643469,7.4263668,0.9377708,14.4134705,0.8604183,276.312756,,0.2927963,0.1707024,44.643,55.3745,64.757,4974.7868,952.48748,785.39846,-105.599998,-12.780118,-582.4,11.2,0,0,-58.748246,-229.1284768,-245.7750737,1538.21036,7.6245472,5.8474862,1.063,10.139,7.823,4.652,23.5256993,8.8180641,57.9970541
0,0,0,0,,0,,0,0,238959780,78389250,1193041920,7120306000,,0,0,0,0,0,0,0,7236.487785,0,1512.52468,7281899,,81951.10255,1402.19994,56206.5598,214.4405,206.2509,262357.70488,0,932.94304,443498.5,,80977.6455,814.599994,52737.8471,155.25236,164.78295,0.7643469,7.4263668,0.9377708,14.4134705,0.8604183,276.312756,,0.2927963,0.1707024,44.643,55.3745,64.757,4974.7868,952.48748,785.39846,-105.599998,-12.780118,-582.4,11.2,0,0,-58.748246,-229.1284768,-245.7750737,1538.21036,7.6245472,5.8474862,1.063,10.139,7.823,4.652,23.5256993,8.8180641,57.9970541
0,0,0,0,,0,,0,0,238959780,78389250,1193041920,7120306000,,0,0,0,0,0,0,0,7236.487785,0,1512.52468,7281899,,81951.10255,1402.19994,56206.5598,214.4405,206.2509,262357.70488,0,932.94304,443498.5,,80977.6455,814.599994,52737.8471,155.25236,164.78295,0.7643469,7.4263668,0.9377708,14.4134705,0.8604183,276.312756,,0.2927963,0.1707024,44.643,55.3745,64.757,4974.7868,952.48748,785.39846,-105.599998,-12.780118,-582.4,11.2,0,0,-58.748246,-229.1284768,-245.7750737,1538.21036,7.6245472,5.8474862,1.063,10.139,7.823,4.652,23.5256993,8.8180641,57.9970541
0,0,0,0,,0,,0,0,238959780,78389250,1193041920,7120306000,,0,0,0,0,0,0,0,7236.487785,0,1512.52468,7281899,,81951.10255,1402.19994,56206.5598,214.4405,206.2509,262357.70488,0,932.94304,443498.5,,80977.6455,814.599994,52737.8471,155.25236,164.78295,0.7643469,7.4263668,0.9377708,14.4134705,0.8604183,276.312756,,0.2927963,0.1707024,44.643,55.3745,64.757,4974.7868,952.48748,785.39846,-105.599998,-12.780118,-582.4,11.2,0,0,-58.748246,-229.1284768,-245.7750737,1538.21036,7.6245472,5.8474862,1.063,10.139,7.823,4.652,23.5256993,8.8180641,57.9970541
0,0,0,0,,0,,0,0,264822800,78389250,1193279500,7120306000,,0,0,0,0,0,0,0,9321.637065,13.2,1321.5991,7281899,,81951.10255,1402.19994,56206.5598,214.4405,206.2509,270157.23558,13.2,760.67702,443498.5,,80977.6455,814.599994,52737.8471,155.25236,164.78295,0.6340368,8.2861168,1.0247965,0.3005814,0.8658808,276.312756,,0.2927963,0.1707024,44.643,55.3745,64.757,4998.6632,952.48748,785.39846,-148.78349,-12.780118,-582.4,3.268449,0,0,-51.846582,-229.1284768,-245.7750737,1506.23166,7.6245472,5.8474862,1.063,10.815,7.823,4.652,23.2810011,8.8180641,57.9970541
0,0,0,0,,0,,0,0,264822800,78389250,1193279500,7120306000,,0,0,0,0,0,0,0,9321.637065,13.2,1321.5991,7281899,,72324.47607,1745.88234,56206.5598,214.4405,206.2509,270157.23558,13.2,760.67702,443498.5,,71546.670792,1081.461796,52737.8471,155.25236,164.78295,0.6340368,8.2861168,1.0247965,0.3005814,0.8658808,276.312756,,0.3143798,0.2176587,44.643,55.3745,64.757,4998.6632,959.59374,827.09296,-148.78349,-622.4000118,-14.4,3.268449,0,0,-51.846582,-227.7255562,-253.9512948,1506.23166,8.1464374,14.9822542,1.063,10.815,6.4328,4.652,23.2810011,8.4482683,20.8000984
0,0,0,0,,0,,0,0,264822800,78389250,1193279500,7120306000,,0,0,0,0,0,0,0,9321.637065,13.2,1321.5991,7281899,,72324.47607,1745.88234,56206.5598,214.4405,206.2509,270157.23558,13.2,760.67702,443498.5,,71546.670792,1081.461796,52737.8471,155.25236,164.78295,0.6340368,8.2861168,1.0247965,0.3005814,0.8658808,276.312756,,0.3143798,0.2176587,44.643,55.3745,64.757,4998.6632,959.59374,827.09296,-148.78349,-622.4000118,-14.4,3.268449,0,0,-51.846582,-227.7255562,-253.9512948,1506.23166,8.1464374,14.9822542,1.063,10.815,6.4328,4.652,23.2810011,8.4482683,20.8000984
