orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_disk_reads_powerstorm_marketing-campaign_0_client,raspberrypi5_disk_reads_monitoring-stack-smart-plug-1,raspberrypi5_disk_reads_monitoring-stack-smart-plug-module-1,raspberrypi4_disk_reads_6g-sandbox-engine-worker-1,raspberrypi4_disk_reads_monitoring-stack-smart-plug-1,raspberrypi3_disk_reads_6g-sandbox-engine-worker-1,raspberrypi3_disk_reads_monitoring-stack-smart-plug-1,raspberrypi0_disk_reads_6g-sandbox-engine-worker-1,raspberrypi0_disk_reads_monitoring-stack-smart-plug-module-1,raspberrypi0_disk_reads_monitoring-stack-stream-events-1,orin_memory_[none],orin_memory_6g-sandbox-prometheus-1,orin_memory_powerstorm_marketing-campaign_0_client,orin_memory_powerstorm_marketing-campaign_0_client,raspberrypi5_memory_monitoring-stack-smart-plug-module-1,raspberrypi5_memory_monitoring-stack-smart-plug-1,raspberrypi5_memory_ubuntu,raspberrypi5_memory_ubuntu,raspberrypi4_memory_monitoring-stack-smart-plug-1,raspberrypi4_memory_ubuntu,raspberrypi4_memory_ubuntu,raspberrypi3_memory_monitoring-stack-smart-plug-1,raspberrypi3_memory_ubuntu,raspberrypi3_memory_ubuntu,raspberrypi0_memory_monitoring-stack-stream-events-1,raspberrypi0_memory_ubuntu,raspberrypi0_memory_ubuntu,raspberrypi0_memory_monitoring-stack-smart-plug-module-1,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_sent_powerstorm_marketing-campaign_0_client,raspberrypi5_network_sent_6g-sandbox-engine-worker-1,raspberrypi5_network_sent_monitoring-stack-smart-plug-1,raspberrypi5_network_sent_monitoring-stack-smart-plug-module-1,raspberrypi4_network_sent_6g-sandbox-engine-worker-1,raspberrypi4_network_sent_monitoring-stack-smart-plug-1,raspberrypi3_network_sent_6g-sandbox-engine-worker-1,raspberrypi3_network_sent_monitoring-stack-smart-plug-1,raspberrypi0_network_sent_6g-sandbox-engine-worker-1,raspberrypi0_network_sent_monitoring-stack-smart-plug-module-1,raspberrypi0_network_sent_monitoring-stack-stream-events-1,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_network_received_powerstorm_marketing-campaign_0_client,raspberrypi5_network_received_6g-sandbox-engine-worker-1,raspberrypi5_network_received_monitoring-stack-smart-plug-1,raspberrypi5_network_received_monitoring-stack-smart-plug-module-1,raspberrypi4_network_received_6g-sandbox-engine-worker-1,raspberrypi4_network_received_monitoring-stack-smart-plug-1,raspberrypi3_network_received_6g-sandbox-engine-worker-1,raspberrypi3_network_received_monitoring-stack-smart-plug-1,raspberrypi0_network_received_6g-sandbox-engine-worker-1,raspberrypi0_network_received_monitoring-stack-smart-plug-module-1,raspberrypi0_network_received_monitoring-stack-stream-events-1,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_powerstorm_marketing-campaign_0_client,orin_cpu_powerstorm_marketing-campaign_0_client,raspberrypi5_cpu_monitoring-stack-smart-plug-1,raspberrypi5_cpu_monitoring-stack-smart-plug-module-1,raspberrypi4_cpu_monitoring-stack-smart-plug-1,raspberrypi3_cpu_6g-sandbox-engine-worker-1,raspberrypi3_cpu_monitoring-stack-smart-plug-1,raspberrypi0_cpu_6g-sandbox-engine-worker-1,raspberrypi0_cpu_monitoring-stack-smart-plug-module-1,raspberrypi0_cpu_monitoring-stack-stream-events-1,orin_temp,raspberrypi5_temp,raspberrypi4_temp,raspberrypi3_temp,raspberrypi0_temp,orin_memory,raspberrypi5_memory,raspberrypi4_memory,raspberrypi3_memory,raspberrypi0_memory,orin_disk_writes,raspberrypi5_disk_writes,raspberrypi4_disk_writes,raspberrypi3_disk_writes,raspberrypi0_disk_writes,orin_disk_reads,raspberrypi5_disk_reads,raspberrypi4_disk_reads,raspberrypi3_disk_reads,raspberrypi0_disk_reads,orin_network_sent,raspberrypi5_network_sent,raspberrypi4_network_sent,raspberrypi3_network_sent,raspberrypi0_network_sent,orin_network_received,raspberrypi5_network_received,raspberrypi4_network_received,raspberrypi3_network_received,raspberrypi0_network_received,raspberrypi5_power_module,raspberrypi0_power_module,raspberrypi5_power,raspberrypi4_power,raspberrypi3_power,raspberrypi0_power,orin_cpu,raspberrypi5_cpu,raspberrypi4_cpu,raspberrypi3_cpu,raspberrypi0_cpu
0,0,,0,0,0,0,0,0,0,,0,0,252071900,866948720,164155390,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7067.9060767,0,,0,59429.655678,1527.99984,1476.3487,64642.583008,1798.70726,42571.17684,1542.2638,48486.9709,218.624,202.8525,208619.7068613,0,,0,58366.621384,948.6,885.791108,62965.7468696,1084.044332,41435.673586,907.7437,46424.9832,164.29102,157.65016,0.5509034,7.9321996,0.8777324,0.004702,,0.7212791,0.311756,0.3111391,0.298089,0.5358463,0.3225762,34.335729,0.2425572,0.1839819,44.3096666666667,43.0415,52.853,54.3365,60.374,8135.5398,882.12812,857.47188,898.41562,770.07342,-96.573832,-32.6935654,-16.0000014,-158.4000104,-18.626618,0,11.1999992,7.200001,108,0,-45.15483,-250.4267064,-226.7248528,-226.0538858,-222.9094772,1278.0867,15.2113328,10.584936,10.3904724,11.7560258,1.424,1.139,5.6278,6,6.8998,3.55,23.0624496,19.5799163,8.446169,8.5046938,16.6314443
0,0,,0,0,0,0,0,0,0,,0,0,252071900,866948720,164155390,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7067.9060767,0,,0,59429.655678,1527.99984,1476.3487,64642.583008,1798.70726,42386.321598,1374.86642,48486.9709,218.624,202.8525,208619.7068613,0,,0,58366.621384,948.6,885.791108,62965.7468696,1084.044332,41257.028592,812.39938,46424.9832,164.29102,157.65016,0.5509034,7.9321996,0.8777324,0.004702,,0.7212791,0.311756,0.3111391,0.298089,0.5358463,0.302479,34.335729,0.2425572,0.1839819,44.3096666666667,43.0415,52.853,54.3365,60.374,8135.5398,882.12812,857.47188,902.2219,770.07342,-96.573832,-32.6935654,-16.0000014,-38.4,-18.626618,0,11.1999992,7.200001,71.2,0,-45.15483,-250.4267064,-226.7248528,-224.3385306,-222.9094772,1278.0867,15.2113328,10.584936,9.2132094,11.7560258,1.424,1.139,5.6278,6,5.183,3.55,23.0624496,19.5799163,8.446169,7.8925349,16.6314443
0,0,,0,0,0,0,0,0,0,,0,0,252071900,866948720,164155390,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7067.9060767,0,,0,64072.05123,1673.09534,1502.47112,64642.583008,1798.70726,42386.321598,1374.86642,48486.9709,218.624,202.8525,208619.7068613,0,,0,62869.380714,982.54856,956.071402,62965.7468696,1084.044332,41257.028592,812.39938,46424.9832,164.29102,157.65016,0.5509034,7.9321996,0.8777324,0.004702,,0.7212791,0.292823,0.3294457,0.298089,0.5358463,0.302479,34.335729,0.2425572,0.1839819,44.3096666666667,43.0415,52.853,54.3365,60.374,8135.5398,893.16874,857.47188,902.2219,770.07342,-96.573832,-4.8,-16.0000014,-38.4,-18.626618,0,0,7.200001,71.2,0,-45.15483,-238.1782508,-226.7248528,-224.3385306,-222.9094772,1278.0867,10.5977438,10.584936,9.2132094,11.7560258,1.4126,1.139,6,6,5.183,3.55,23.0624496,9.5703189,8.446169,7.8925349,16.6314443
0,0,,0,0,0,0,0,0,0,,0,0,252071900,868864820,164155390,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8481.1208167,0,,0,64072.05123,1673.09534,1502.47112,64642.583008,1798.70726,42386.321598,1374.86642,48486.9709,218.624,202.8525,225570.5282433,0,,0,62869.380714,982.54856,956.071402,62965.7468696,1084.044332,41257.028592,812.39938,46424.9832,164.29102,157.65016,0.4630023,5.7957019,0.7806397,18.3329124,,0.7212791,0.292823,0.3294457,0.298089,0.5358463,0.302479,34.335729,0.2425572,0.1839819,44.3096666666667,43.0415,52.853,54.3365,60.374,8167.054,893.16874,857.47188,902.2219,770.07342,-572.805077,-4.8,-16.0000014,-38.4,-18.626618,0,0,7.200001,71.2,0,-61.41301,-238.1782508,-226.7248528,-224.3385306,-222.9094772,1322.7904,10.5977438,10.584936,9.2132094,11.7560258,1.4126,1.139,6,6,5.183,3.55,30.3378793,9.5703189,8.446169,7.8925349,16.6314443
0,0,,0,0,0,0,0,0,0,,0,0,252071900,868864820,164155390,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8481.1208167,0,,0,64072.05123,1673.09534,1502.47112,53925.899102,1355.47708,42386.321598,1374.86642,48486.9709,218.624,202.8525,225570.5282433,0,,0,62869.380714,982.54856,956.071402,52354.341729,793.301228,41257.028592,812.39938,46424.9832,164.29102,157.65016,0.4630023,5.7957019,0.7806397,18.3329124,,0.7212791,0.292823,0.3294457,0.3084765,0.5358463,0.302479,8.3486858,0.0554522,0.1215735,44.3096666666667,43.0415,52.853,54.3365,60.374,8167.054,893.16874,863.825,902.2219,772.15314,-572.805077,-4.8,-850.26846,-38.4,-18.147848,0,0,19.2000002,71.2,0,-61.41301,-238.1782508,-226.1933584,-224.3385306,-223.1348216,1322.7904,10.5977438,10.7385118,9.2132094,12.5271652,1.4126,1.139,6,5.9544,5.183,3.55,30.3378793,9.5703189,7.7300383,7.8925349,6.1985154
0,0,,0,0,0,0,0,0,0,,0,0,252071900,868864820,164155390,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8481.1208167,0,,0,64072.05123,1673.09534,1502.47112,53925.899102,1355.47708,42386.321598,1374.86642,48486.9709,218.624,202.8525,225570.5282433,0,,0,62869.380714,982.54856,956.071402,52354.341729,793.301228,41257.028592,812.39938,46424.9832,164.29102,157.65016,0.4630023,5.7957019,0.7806397,18.3329124,,0.7212791,0.292823,0.3294457,0.3084765,0.5358463,0.302479,8.3486858,0.0554522,0.1215735,44.3096666666667,43.0415,52.853,54.3365,60.374,8167.054,893.16874,863.825,902.2219,772.15314,-572.805077,-4.8,-850.26846,-38.4,-18.147848,0,0,19.2000002,71.2,0,-61.41301,-238.1782508,-226.1933584,-224.3385306,-223.1348216,1322.7904,10.5977438,10.7385118,9.2132094,12.5271652,1.4126,1.139,6,5.9544,5.183,3.55,30.3378793,9.5703189,7.7300383,7.8925349,6.1985154
0,0,,0,0,0,0,0,0,0,,0,0,252071900,868864820,164155390,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8481.1208167,0,,0,64072.05123,1673.09534,1502.47112,53925.899102,1355.47708,42208.71054,1190.211948,60143.6858,212.7683,203.4601,225570.5282433,0,,0,62869.380714,982.54856,956.071402,52354.341729,793.301228,41139.328524,721.73744,57421.6881,152.72939,158.26501,0.4630023,5.7957019,0.7806397,18.3329124,,0.7212791,0.292823,0.3294457,0.3084765,0.5358463,0.302261,8.3486858,0.0554522,0.1215735,44.332,42.7665,52.028,54.077,60.374,8167.054,893.16874,863.825,910.90624,772.15314,-572.805077,-4.8,-850.26846,-630.4,-18.147848,0,0,19.2000002,0,0,-61.41301,-238.1782508,-226.1933584,-226.0128376,-223.1348216,1322.7904,10.5977438,10.7385118,10.7339436,12.5271652,1.4126,1.139,6,5.9544,5.1602,3.493,30.3378793,9.5703189,7.7300383,7.2680591,6.1985154
0,0,,0,0,0,0,0,0,0,,0,0,252071900,868864820,164155390,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8481.1208167,0,,0,52118.378468,1309.70494,1476.49018,53925.899102,1355.47708,42208.71054,1190.211948,60143.6858,212.7683,203.4601,225570.5282433,0,,0,51116.96882,800.051432,852.11965,52354.341729,793.301228,41139.328524,721.73744,57421.6881,152.72939,158.26501,0.4630023,5.7957019,0.7806397,18.3329124,,0.7212791,0.3028508,0.281801,0.3084765,0.5358463,0.302261,8.3486858,0.0554522,0.1215735,44.332,42.7665,52.028,54.077,60.374,8167.054,899.4875,863.825,910.90624,772.15314,-572.805077,-11.2,-850.26846,-630.4,-18.147848,0,0,19.2000002,0,0,-61.41301,-237.1023926,-226.1933584,-226.0128376,-223.1348216,1322.7904,9.0063894,10.7385118,10.7339436,12.5271652,1.405,1.139,4.5568,5.9544,5.1602,3.493,30.3378793,7.5547383,7.7300383,7.2680591,6.1985154
0,0,,0,0,0,0,0,0,0,,0,0,270125460,870816960,164155390,109180524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12721.2496347,754.9333333,3790.55838,0,52118.378468,1309.70494,1476.49018,53925.899102,1355.47708,42208.71054,1190.211948,60143.6858,212.7683,203.4601,2522178.8638713,476.9333333,1487906.47392,0,51116.96882,800.051432,852.11965,52354.341729,793.301228,41139.328524,721.73744,57421.6881,152.72939,158.26501,0.5287391,5.4648915,0.6266464,1.7137969,57.8480451,0.7212791,0.3028508,0.281801,0.3084765,0.5358463,0.302261,8.3486858,0.0554522,0.1215735,44.332,42.7665,52.028,54.077,60.374,8290.0086,899.4875,863.825,910.90624,772.15314,-285.606352,-11.2,-850.26846,-630.4,-18.147848,0,0,19.2000002,0,0,-106.106324,-237.1023926,-226.1933584,-226.0128376,-223.1348216,28655.49388,9.0063894,10.7385118,10.7339436,12.5271652,1.405,1.139,4.5568,5.9544,5.1602,3.493,36.9903319,7.5547383,7.7300383,7.2680591,6.1985154
0,0,,0,0,0,0,0,0,0,,0,0,270125460,870816960,164155390,109180524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12721.2496347,754.9333333,3790.55838,0,52118.378468,1309.70494,1476.49018,63859.209378,1328.0158,42208.71054,1190.211948,60143.6858,212.7683,203.4601,2522178.8638713,476.9333333,1487906.47392,0,51116.96882,800.051432,852.11965,62257.5127696,834.45451,41139.328524,721.73744,57421.6881,152.72939,158.26501,0.5287391,5.4648915,0.6266464,1.7137969,57.8480451,0.7212791,0.3028508,0.281801,0.2869658,0.5358463,0.302261,5.7098994,0.2094062,0.1790114,44.332,42.7665,52.028,54.077,60.374,8290.0086,899.4875,866.88436,910.90624,774.06094,-285.606352,-11.2,-43.331596,-630.4,-151.2255346,0,0,0,0,0,-106.106324,-237.1023926,-240.8341258,-226.0128376,-221.920496,28655.49388,9.0063894,11.0061272,10.7339436,11.4958956,1.405,1.139,4.5568,5.772,5.1602,3.493,36.9903319,7.5547383,7.0613632,7.2680591,8.4067853
