orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_memory_[none],orin_memory_6g-sandbox-prometheus-1,orin_memory_monitoring-stack-smart-plug-1,orin_memory_powerstorm_marketing-campaign_0_client,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,xavier_cpu_6g-sandbox-engine-worker-1,xavier_cpu_monitoring-stack-smart-plug-1,raspberrypi5_cpu_6g-sandbox-engine-worker-1,raspberrypi5_cpu_monitoring-stack_smart-plug_1,orin_temp,xavier_temp,raspberrypi5_temp,orin_memory,xavier_memory,raspberrypi5_memory,orin_disk_writes,xavier_disk_writes,raspberrypi5_disk_writes,orin_disk_reads,xavier_disk_reads,raspberrypi5_disk_reads,orin_network_sent,xavier_network_sent,raspberrypi5_network_sent,orin_network_received,xavier_network_received,raspberrypi5_network_received,orin_power,xavier_power,raspberrypi5_power,orin_cpu,xavier_cpu,raspberrypi5_cpu
0,0,,67416060,905028380,32346110,,240122.477144,0,1397.41076,,337770.96723,0,853.2482,,0.6870907,3.7771225,1.1387832,5.8038946,1.0856326,,3.5379619,1.4001145,0.6748108,0.1972674,40.526,44,43.1035,3016.4444,968.67658,831.75314,-57.600002,-20.805508,-101.5999996,0,525.1034,230.437568,-311.2899508,-178.0331776,-115.068362,370.0294596,9.4453108,8.4822794,8.5668,3.417,4.101,16.6789711,10.725183,1.999911
0,0,,67416060,905028380,32346110,,240122.477144,0,1397.41076,,337770.96723,0,853.2482,,0.6870907,3.7771225,1.1387832,5.8038946,1.0856326,,3.5379619,1.4001145,0.6748108,0.1972674,40.5,44,42.2475,3016.4444,968.67658,831.75314,-57.600002,-20.805508,-101.5999996,0,525.1034,230.437568,-311.2899508,-178.0331776,-115.068362,370.0294596,9.4453108,8.4822794,8.5668,3.417,4.101,16.6789711,10.725183,1.999911
0,0,,67416060,905028380,32346110,,240122.477144,0,1397.41076,,337770.96723,0,853.2482,,0.6870907,3.7771225,1.1387832,5.8038946,1.0856326,,3.5379619,1.4001145,0.6748108,0.1972674,40.5,44,42.2475,3016.4444,968.67658,831.75314,-57.600002,-20.805508,-101.5999996,0,525.1034,230.437568,-311.2899508,-178.0331776,-115.068362,370.0294596,9.4453108,8.4822794,8.5668,3.417,4.101,16.6789711,10.725183,1.999911
0,0,,67416060,905028380,32346110,,240122.477144,0,1397.41076,,337770.96723,0,853.2482,,0.6870907,3.7771225,1.1387832,5.8038946,1.0856326,,3.5379619,1.4001145,0.6748108,0.1972674,40.5,44,42.2475,3016.4444,968.67658,831.75314,-57.600002,-20.805508,-101.5999996,0,525.1034,230.437568,-311.2899508,-178.0331776,-115.068362,370.0294596,9.4453108,8.4822794,8.5668,3.417,4.101,16.6789711,10.725183,1.999911
0,0,,67416060,905028380,32346110,,240122.477144,0,1397.41076,,337770.96723,0,853.2482,,0.6870907,3.7771225,1.1387832,5.8038946,1.0856326,,3.5379619,1.4001145,0.6748108,0.1972674,40.5,44,42.2475,3016.4444,968.67658,831.75314,-57.600002,-20.805508,-101.5999996,0,525.1034,230.437568,-311.2899508,-178.0331776,-115.068362,370.0294596,9.4453108,8.4822794,8.5668,3.417,4.101,16.6789711,10.725183,1.999911
0,0,,67416060,905106220,32346930,106041340,229368.012,0,1476.3222,0,294346.4352,0,790.12704,277.9004,0.6796672,2.6662893,0.8629589,12.7685041,0.5514806,,8.5090066,1.508818,0.6099073,0.2162609,40.5,44,42.2475,3070.361,968.69528,829.55312,-486.577868,-9.6,-10.4,0,469.36984,395.94418,-343.418128,-180.6643092,-115.8891102,434.310902,9.8531826,9.3513136,8.601,3.417,4.3974,24.4566895,12.2221416,2.5992689
0,0,,67416060,905106220,32346930,106041340,229368.012,0,1476.3222,0,294346.4352,0,790.12704,277.9004,0.6796672,2.6662893,0.8629589,12.7685041,0.5514806,,8.5090066,1.508818,0.6099073,0.2162609,40.5,44,42.2475,3070.361,968.69528,829.55312,-486.577868,-9.6,-10.4,0,469.36984,395.94418,-343.418128,-180.6643092,-115.8891102,434.310902,9.8531826,9.3513136,8.601,3.417,4.3974,24.4566895,12.2221416,2.5992689
0,0,,67416060,905106220,32346930,106041340,229368.012,0,1476.3222,0,294346.4352,0,790.12704,277.9004,0.6796672,2.6662893,0.8629589,12.7685041,0.5514806,,8.5090066,1.508818,0.6099073,0.2162609,40.5,44,42.2475,3070.361,968.69528,829.55312,-486.577868,-9.6,-10.4,0,469.36984,395.94418,-343.418128,-180.6643092,-115.8891102,434.310902,9.8531826,9.3513136,8.601,3.417,4.3974,24.4566895,12.2221416,2.5992689
0,0,,67416060,905106220,32346930,106041340,229368.012,0,1476.3222,0,294346.4352,0,790.12704,277.9004,0.6796672,2.6662893,0.8629589,12.7685041,0.5514806,,8.5090066,1.508818,0.6099073,0.2162609,40.5,44,42.2475,3070.361,968.69528,829.55312,-486.577868,-9.6,-10.4,0,469.36984,395.94418,-343.418128,-180.6643092,-115.8891102,434.310902,9.8531826,9.3513136,8.601,3.417,4.3974,24.4566895,12.2221416,2.5992689
0,0,,67416060,905106220,32346930,106041340,229368.012,0,1476.3222,0,294346.4352,0,790.12704,277.9004,0.6796672,2.6662893,0.8629589,12.7685041,0.5514806,,8.5090066,1.508818,0.6099073,0.2162609,40.5,44,42.2475,3070.361,968.69528,829.55312,-486.577868,-9.6,-10.4,0,469.36984,395.94418,-343.418128,-180.6643092,-115.8891102,434.310902,9.8531826,9.3513136,8.601,3.417,4.3974,24.4566895,12.2221416,2.5992689
