Metric,Sum,Average
orin_memory_powerstorm_client,334253010000,3183362000
orin_network_sent_powerstorm_client,51999979.5,495237.9
raspberrypi4_network_sent_worker,228758243.23132,194192.057072428
orin_network_received_client,22371552,213062.4
raspberrypi4_network_received_worker,872829981.810948,740942.259601823
orin_cpu_kafka,443.572632,1.5295608
orin_cpu_redis,12865.4396557,10.9214258537351
orin_cpu_powerstorm_client,2868.040728,30.1899024
orin_temp,53383.67,45.3172071307301
raspberrypi4_temp,69168.7445,58.7171005942275
orin_memory,20697336.2046,17569.8949105263
raspberrypi4_memory,1853982.6256,1573.83924074703
orin_disk_writes,-6625258.176226,-5624.15804433446
raspberrypi4_disk_writes,-137492.3832332,-116.716793916129
orin_disk_reads,6322.7949456,5.36739808624788
raspberrypi4_disk_reads,228,0.193548387096774
orin_network_sent,-6731573.80696,-5714.40900421053
raspberrypi4_network_sent,-1773720.357987,-1505.70488793464
orin_network_received,3112497.608811,2642.18812292954
raspberrypi4_network_received,6746852.509095,5727.37903997878
raspberrypi4_power,8931.5488,7.58195993208829
orin_cpu,80231.0411755,68.1078448009338
raspberrypi4_cpu,38054.3260487,32.3041817051783
