Metric,Sum,Average
orin_memory_powerstorm_client,42325606400,173465600
orin_network_sent_powerstorm_client,6515532311.85143,5690421.23305802
server_115_network_sent_worker,327547506.502846,284082.833046701
orin_network_received_powerstorm_client,403679793.831536,352558.771905272
server_115_network_received_worker,2879721810.65793,2497590.46891408
orin_cpu_redis,16164.6113868,14.0196109165655
orin_cpu_powerstorm_client,204048.2650445,178.208091741921
orin_temp,50659.1053333333,43.9367782596126
orin_memory,16309995.0724,14145.7025779705
server_115_memory,1727768.40376,1498.49818192541
orin_disk_writes,-6981617.1400185,-6055.17531658153
server_115_disk_writes,-51772.0680655,-44.902053829575
orin_disk_reads,18625.2403035,16.1537209917606
server_115_disk_reads,355.99997,0.308759731136167
orin_network_sent,-22556015.3594198,-19562.8927661924
server_115_network_sent,-2618839.154079,-2271.32623944406
orin_network_received,3116426.428197,2702.88502011882
server_115_network_received,22916025.5930704,19875.1306097748
orin_power,16763.28,14.5388378143972
orin_cpu,77199.7322558,66.9555353476149
server_115_cpu,41014.0893483,35.5716299638335
server_115_power,193150,139.257390050469
