Metric,Sum,Average
orin_memory_powerstorm_client,6226224797720,5267533669.81388
orin_network_sent_powerstorm_client,990334874.8,7797912.4
raspberrypi4_network_sent_worker,269260134.07225,226649.944505261
orin_network_received_powerstorm_client,70102714.76,551989.88
raspberrypi4_network_received_worker,2341969537.25706,1971354.82934096
orin_cpu_kafka,63916.4048941,53.8016876212963
orin_cpu_redis,14441.0552687,12.1557704281987
orin_cpu_powerstorm_client,32758.382504,268.511332
raspberrypi4_cpu_worker,189122.6441116,159.194144875084
orin_temp,49277.27,41.4791835016835
raspberrypi4_temp,74880.005,63.0303072390572
orin_memory,10120394.317,8518.85043518518
raspberrypi4_memory,2252941.98968,1896.41581622896
orin_disk_writes,-7346001.0658762,-6183.50258070387
raspberrypi4_disk_writes,-68744.855057,-57.8660396102694
orin_disk_reads,4626.5739832,3.89442254478114
raspberrypi4_disk_reads,14503.199822,12.2080806582492
orin_network_sent,-18592711.628814,-15650.4306639849
raspberrypi4_network_sent,-2397689.3045744,-2018.25699038249
orin_network_received,3806245.41992,3203.91028612795
raspberrypi4_network_received,18421587.8752993,15506.3871004203
orin_power,16090.9176,13.5445434343434
raspberrypi4_power,10380.357,8.73767424242424
orin_cpu,76971.4012236,64.7907417707071
raspberrypi4_cpu,58770.6967045,49.4702834212963
