Metric,Sum,Average
raspberrypi0_disk_reads_worker,16384.0004,17.9846327113063
orin_memory_powerstorm_client,1943843538000,7120306000
orin_memory_powerstorm_client,7639109867150,6760274218.71681
orin_network_sent_powerstorm_client,6625629925.46327,5863389.31456926
raspberrypi4_network_sent_worker,100043181.647689,87603.4865566455
raspberrypi0_network_sent_worker,337505161.71991,295538.670507802
orin_network_received_powerstorm_client,405220189.356833,358601.937483923
raspberrypi4_network_received_worker,193384830.920744,169338.731103979
raspberrypi0_network_received_worker,701524127.3279,614294.332161033
orin_cpu_6g-sandbox-redis,12348.8027082,10.8133123539405
orin_cpu_powerstorm_client,204923.3362365,182.967264496875
orin_temp,51103.2496666667,44.7489051371862
raspberrypi4_temp,60202.3235,52.7165704903678
raspberrypi0_temp,80821.629,70.7720043782837
orin_memory,13439411.6986,11768.3114698774
raspberrypi4_memory,1384766.30786,1212.57995434326
raspberrypi0_memory,1562818.62958,1368.49267038529
orin_disk_writes,-6876819.4098851,-6021.73328361217
raspberrypi4_disk_writes,-126957.5799118,-111.171260868476
raspberrypi0_disk_writes,-73310.9048528,-64.195188137303
orin_disk_reads,5228.678311,4.57852741768827
raspberrypi4_disk_reads,4636.00003,4.05954468476357
raspberrypi0_disk_reads,3443.999903,3.01576173642732
orin_network_sent,-4818924.2399696,-4219.72350260035
raspberrypi4_network_sent,-681830.6311792,-597.049589473906
raspberrypi0_network_sent,-2633405.8196924,-2305.95956190228
orin_network_received,3168174.00857,2774.2329321979
raspberrypi4_network_received,1180093.959563,1033.35723254203
raspberrypi0_network_received,5333398.54203,4670.2263940718
raspberrypi0_power_module,1941.483,1.70007267950963
orin_power,16935.3203,14.829527408056
raspberrypi4_power,6722.3014,5.88642854640981
raspberrypi0_power,5385.198,4.71558493870403
orin_cpu,75879.297471,66.4442184509632
raspberrypi4_cpu,10963.147382,9.59995392469352
raspberrypi0_cpu,57981.5371766,50.7719239725044
