Metric,Sum,Average
orin_memory_powerstorm_client,10817186450723.3,9090072647.66667
orin_network_sent_powerstorm_client,7069369909.1219,5940646.98245538
server_113_network_sent_worker,459659084.223913,384009.260003269
server_115_network_sent_worker,409696709.737246,342269.598777983
orin_network_received_powerstorm_client,435565521.031457,366021.446244922
server_113_network_received_worker,2340342189.29245,1955173.09046988
server_115_network_received_worker,577388625.420553,482363.095589434
orin_cpu_redis,16108.2674046,13.4571991684211
orin_cpu_powerstorm_client,218308.7859565,185.007445725848
orin_temp,52952.8183333333,44.2379434697856
orin_memory,14578911.1506,12179.541479198
server_113_memory,1718846.61678,1435.96208586466
server_115_memory,1328692.8851,1110.01911871345
orin_disk_writes,-7626709.5914515,-6371.5201265259
server_113_disk_writes,-51175.7155395,-42.7533128984962
server_115_disk_writes,-56601.2669625,-47.2859373120301
orin_disk_reads,12466.3362575,10.41465017335
server_113_disk_reads,8204.8001276,6.85446961370092
server_115_disk_reads,0,0
orin_network_sent,-18588478.701542,-15529.2219728839
server_113_network_sent,-3624254.932007,-3027.78189808438
server_115_network_sent,-3213104.9990241,-2684.29824479875
orin_network_received,4386064.68282,3664.21443844612
server_113_network_received,18438166.6144274,15403.6479652693
server_115_network_received,4320164.0679796,3609.15962237226
orin_power,17714.334,14.7989423558897
orin_cpu,78883.6082026,65.9010929010861
server_113_cpu,47182.8312837,39.4175699947368
server_115_cpu,22561.2068103,18.8481259902256
server_113_115_power,210662,145.786851211073
