Metric,Sum,Average
orin_memory_powerstorm_client,7008508599609.82,6447570008.84069
orin_network_sent_powerstorm_client,6444645713.30239,5928836.90276209
xavier_network_sent_worker,606623238.389891,528878.150296331
raspberrypi0_network_sent_worker,365431162.982,318597.352207498
orin_network_received_powerstorm_client,393836410.956396,362315.005479665
xavier_network_received_worker,2705284754.75091,2358574.32846635
raspberrypi0_network_received_worker,524213956.496,457030.476456844
orin_cpu_redis,14080.9066163,12.9539159303588
orin_cpu_powerstorm_client,201746.7366835,185.599573765869
xavier_cpu_worker,1238.3994914,7.4602379
orin_temp,47116.9057206667,42.03113802022
xavier_temp,48933.95,42.6625544899738
raspberrypi0_temp,76616.264,66.7970915431561
orin_memory,10713843.4781045,9856.34174618629
xavier_memory,2146972.063,1871.81522493461
raspberrypi0_memory,1520564.8792,1325.68864795118
orin_disk_writes,-6924015.2917475,-6369.83927483671
xavier_disk_writes,-48305.1244685,-42.1143195017437
raspberrypi0_disk_writes,-72224.446358,-62.9681310880558
orin_disk_reads,74150.3332331,68.215577951334
xavier_disk_reads,981.8919862,0.856052298343505
raspberrypi0_disk_reads,4,0.003487358326068
orin_network_sent,-20122408.175143,-18511.8750461297
xavier_network_sent,-3677539.178972,-3206.22421880732
raspberrypi0_network_sent,-2812039.45481,-2451.64730149085
orin_network_received,3279085.59731,3016.63808400184
xavier_network_received,19998550.4819235,17435.5278831068
raspberrypi0_network_received,3855420.0101806,3361.30776824813
orin_power,14886.0359795,13.6946053169273
xavier_power,8216.958,7.16386922406277
raspberrypi0_power,4258.21,3.71247602441151
orin_cpu,72251.8148347,66.4690108874885
xavier_cpu,77084.3528181,67.2051899024412
raspberrypi0_cpu,23508.5640562,20.495696648823
