Metric,Sum,Average
raspberrypi3_disk_reads_worker,17383424.17,14644.8392333614
raspberrypi0_disk_reads_worker,8192.0001,7.50870769935839
orin_memory_powerstorm_client,14038926516720,11907486443.3588
orin_network_sent_powerstorm_client,6664962603.2473,5653064.12489169
raspberrypi5_network_sent_worker,229989332.925258,193756.809541077
raspberrypi4_network_sent_worker,152361612.678404,128358.561649877
raspberrypi3_network_sent_worker,285739405.405374,240724.014663331
raspberrypi0_network_sent_worker,145789027.31857,122821.421498374
orin_network_received_powerstorm_client,394665550.90685,334746.014339991
raspberrypi5_network_received_worker,182898402.433401,154084.585032351
raspberrypi4_network_received_worker,154779101.706286,130395.199415574
raspberrypi3_network_received_worker,1050507018.63124,885010.125215875
raspberrypi0_network_received_worker,324660120.90727,273513.159989275
orin_cpu_redis,13541.3776734,11.4080688065712
orin_cpu_powerstorm_client,210855.6749635,178.842811673876
raspberrypi3_cpu_worker,148.4294251,0.5358463
raspberrypi0_cpu_worker,64662.1381365,54.4752638049705
orin_temp,53694.457,45.2354313395114
raspberrypi5_temp,52185.1615,43.9639102780118
raspberrypi4_temp,62402.332,52.5714675652907
raspberrypi3_temp,68638.7375,57.8253896377422
raspberrypi0_temp,75911.492,63.9523942712721
orin_memory,23590494.3964,19874.0475117102
raspberrypi5_memory,1502686.74769,1265.95345213985
raspberrypi4_memory,1454192.97502,1225.09938923336
raspberrypi3_memory,1627146.808985,1370.80607328138
raspberrypi0_memory,1256030.21288,1058.15519197978
orin_disk_writes,-6961342.60283,-5864.65257188711
raspberrypi5_disk_writes,-131372.9223268,-110.676429929907
raspberrypi4_disk_writes,-137034.1422081,-115.44578113572
raspberrypi3_disk_writes,-59874.1292575,-50.4415579254423
raspberrypi0_disk_writes,-72765.414239,-61.301949653749
orin_disk_reads,6110.7745719,5.14808304288121
raspberrypi5_disk_reads,74.3999984,0.0626790213984836
raspberrypi4_disk_reads,164.800005,0.138837409435552
raspberrypi3_disk_reads,24256.4663132,20.4351022015164
raspberrypi0_disk_reads,259.999995,0.219039591406908
orin_network_sent,-8639948.43761,-7278.8108151727
raspberrypi5_network_sent,-1768680.0789718,-1490.04218952974
raspberrypi4_network_sent,-1143554.4263512,-963.398842755855
raspberrypi3_network_sent,-2241562.793555,-1888.42695328981
raspberrypi0_network_sent,-1097848.3142338,-924.893272311542
orin_network_received,3376886.2372,2844.89152249368
raspberrypi5_network_received,1122400.7764241,945.577739194692
raspberrypi4_network_received,908079.681584,765.020793246841
raspberrypi3_network_received,8133658.0013383,6852.28138276184
raspberrypi0_network_received,2270878.5012972,1913.12426394035
raspberrypi5_power_module,1818.77,1.53224094355518
raspberrypi0_power_module,2127.963,1.79272367312553
raspberrypi5_power,5012.6016,4.22291625947767
raspberrypi4_power,7049.6335,5.93903411962932
raspberrypi3_power,7998.7499,6.73862670598147
raspberrypi0_power,4721.053,3.97729823083404
orin_cpu,80932.3795483,68.182291110615
raspberrypi5_cpu,10861.7976131,9.15062983411963
raspberrypi4_cpu,11525.0877462,9.70942522847515
raspberrypi3_cpu,31047.6636881,26.1564142275484
raspberrypi0_cpu,22215.0831105,18.7153185429655
