Metric,Sum,Average
orin_memory_powerstorm_client,11712069134073.3,9883602644.78762
orin_network_sent_powerstorm_client,36779199,174309
server_113_network_sent_worker,336917862.072014,283124.253842029
server_114_network_sent_worker,555472889.319812,466783.940604884
server_115_network_sent_worker,226832926.796456,190615.904870971
orin_network_received_powerstorm_client,15780314.42,74788.22
server_113_network_received_worker,1455933341.90058,1223473.39655511
server_114_network_received_worker,1471212296.53542,1236312.85423145
server_115_network_received_worker,398500120.700428,334874.051008763
orin_cpu_6g-redis,17695.7382945,14.8703683147059
orin_cpu_powerstorm_client,7215.6211632,35.0272872
server_113_cpu_worker,398.1127388,1.3871524
server_114_cpu_worker,426.3998032,1.4857136
server_115_cpu_worker,207.7491195,0.7139145
orin_temp,52352.0783333334,43.9933431372549
orin_memory,17744172.6984165,14911.0694944676
server_113_memory,1640411.72678,1378.49724939496
server_114_memory,1554327.744505,1306.1577684916
server_115_memory,1182491.5394,993.690369243698
orin_disk_writes,-7285307.536711,-6122.10717370672
server_113_disk_writes,-55936.5801406,-47.005529529916
server_114_disk_writes,-54096.7248564,-45.459432652437
server_115_disk_writes,-55563.979258,-46.6924195445378
orin_disk_reads,5961.8612985,5.00996747773109
server_113_disk_reads,479.99998,0.403361327731092
server_114_disk_reads,12096.00002,10.1647058991597
server_115_disk_reads,872,0.732773109243697
orin_network_sent,-19924942.6151285,-16743.6492564105
server_113_network_sent,-2630717.6772912,-2210.68712377412
server_114_network_sent,-4367266.1462204,-3669.97155144571
server_115_network_sent,-1795858.770098,-1509.12501688908
orin_network_received,4117236.4638015,3459.86257462311
server_113_network_received,11339010.372594,9528.58014503697
server_114_network_received,11461835.9870398,9631.79494709227
server_115_network_received,2940321.954088,2470.8587849479
orin_power,17606.10875,14.7950493697479
orin_cpu,80035.382576,67.2566240134454
server_113_cpu,45297.6691961,38.0652682320168
server_114_cpu,27182.0193025,22.8420330273109
server_115_cpu,19752.072617,16.5983803504202
server_113_115_power,212268,148.751226348984
server_114_power,210464,147.487035739313
