Metric,Sum,Average
orin_memory_powerstorm_client,4840184033320,4112305890.6712
orin_network_sent_powerstorm_client,7313513421.4892,6213690.24765438
orin_network_received_powerstorm_client,505492349.8571,429475.233523449
orin_cpu_redis,6665.4349938,5.6391159
orin_cpu_powerstorm_client,224747.878662,192.586014277635
xavier_cpu_worker,36471.457878,30.8557173248731
raspberrypi5_cpu_worker,5701.9617761,4.82399473443316
orin_temp,49649.1036666667,42.0043178228991
xavier_temp,51244.3,43.3538917089679
raspberrypi5_temp,50222.0655,42.489057106599
orin_memory,8612954.5314,7286.76356294416
xavier_memory,1585683.9049135,1341.52614628892
raspberrypi5_memory,1300938.75346,1100.62500292724
orin_disk_writes,-7626313.0884955,-6452.04153003003
xavier_disk_writes,-46562.476001,-39.3929576996616
raspberrypi5_disk_writes,-105216.328874,-89.0155066615905
orin_disk_reads,4324.0000705,3.6582064894247
xavier_disk_reads,317863.9780205,268.920455178088
raspberrypi5_disk_reads,69231.552209,58.5715331717428
orin_network_sent,-639071.7556278,-540.669844016751
xavier_network_sent,-250367.0324325,-211.816440298223
raspberrypi5_network_sent,-160031.8875254,-135.390767787986
orin_network_received,745318.402345,630.557023980542
xavier_network_received,225667.91766,190.920404111675
raspberrypi5_network_received,163814.948246,138.591326773266
orin_power,15938.507,13.4843544839256
xavier_power,4452.519,3.76693654822335
raspberrypi5_power,5004.1334,4.23361539763113
orin_cpu,74600.6653391,63.1139300669205
xavier_cpu,24628.8948225,20.8366284454315
raspberrypi5_cpu,3400.9364846,2.87727282961083
